County,State,County Code,Year,Deaths
Acadia Parish,LA,22001,2003.0,11.0
Acadia Parish,LA,22001,2005.0,23.0
Acadia Parish,LA,22001,2006.0,19.0
Acadia Parish,LA,22001,2007.0,19.0
Acadia Parish,LA,22001,2009.0,11.0
Acadia Parish,LA,22001,2010.0,13.0
Acadia Parish,LA,22001,2011.0,10.0
Ada County,ID,16001,2003.0,17.0
Ada County,ID,16001,2004.0,21.0
Ada County,ID,16001,2005.0,20.0
Ada County,ID,16001,2006.0,32.0
Ada County,ID,16001,2007.0,32.0
Ada County,ID,16001,2008.0,37.0
Ada County,ID,16001,2009.0,44.0
Ada County,ID,16001,2010.0,35.0
Ada County,ID,16001,2011.0,45.0
Ada County,ID,16001,2012.0,28.0
Ada County,ID,16001,2013.0,55.0
Ada County,ID,16001,2014.0,65.0
Ada County,ID,16001,2015.0,44.0
Adams County,CO,8001,2003.0,42.0
Adams County,CO,8001,2004.0,46.0
Adams County,CO,8001,2005.0,63.0
Adams County,CO,8001,2006.0,62.0
Adams County,CO,8001,2007.0,70.0
Adams County,CO,8001,2008.0,50.0
Adams County,CO,8001,2009.0,67.0
Adams County,CO,8001,2010.0,53.0
Adams County,CO,8001,2011.0,88.0
Adams County,CO,8001,2012.0,91.0
Adams County,CO,8001,2013.0,78.0
Adams County,CO,8001,2014.0,88.0
Adams County,CO,8001,2015.0,84.0
Adams County,IL,17001,2015.0,14.0
Adams County,OH,39001,2012.0,10.0
Adams County,OH,39001,2014.0,10.0
Adams County,OH,39001,2015.0,13.0
Adams County,PA,42001,2009.0,12.0
Adams County,PA,42001,2010.0,10.0
Aiken County,SC,45003,2003.0,10.0
Aiken County,SC,45003,2004.0,16.0
Aiken County,SC,45003,2005.0,13.0
Aiken County,SC,45003,2006.0,25.0
Aiken County,SC,45003,2007.0,19.0
Aiken County,SC,45003,2008.0,18.0
Aiken County,SC,45003,2009.0,21.0
Aiken County,SC,45003,2010.0,25.0
Aiken County,SC,45003,2011.0,22.0
Aiken County,SC,45003,2012.0,26.0
Aiken County,SC,45003,2013.0,27.0
Aiken County,SC,45003,2014.0,26.0
Aiken County,SC,45003,2015.0,30.0
Alachua County,FL,12001,2003.0,11.0
Alachua County,FL,12001,2007.0,17.0
Alachua County,FL,12001,2009.0,15.0
Alachua County,FL,12001,2010.0,15.0
Alachua County,FL,12001,2011.0,14.0
Alachua County,FL,12001,2012.0,14.0
Alachua County,FL,12001,2013.0,12.0
Alachua County,FL,12001,2014.0,19.0
Alachua County,FL,12001,2015.0,23.0
Alamance County,NC,37001,2005.0,11.0
Alamance County,NC,37001,2006.0,10.0
Alamance County,NC,37001,2007.0,11.0
Alamance County,NC,37001,2008.0,19.0
Alamance County,NC,37001,2009.0,20.0
Alamance County,NC,37001,2011.0,16.0
Alamance County,NC,37001,2012.0,19.0
