BUYER_STATE,BUYER_COUNTY,YEAR,Total_Weight
AL,AUTAUGA,2006,17100.542224750527
AL,AUTAUGA,2007,19152.43728865058
AL,AUTAUGA,2008,21785.83529038803
AL,AUTAUGA,2009,24439.987693388117
AL,AUTAUGA,2010,26169.308157937987
AL,AUTAUGA,2011,28682.158857937633
AL,AUTAUGA,2012,30312.245596800163
AL,BALDWIN,2006,51039.82905032842
AL,BALDWIN,2007,60323.05178149139
AL,BALDWIN,2008,66828.52321617889
AL,BALDWIN,2009,76385.37560831677
AL,BALDWIN,2010,92720.1412313691
AL,BALDWIN,2011,107700.16589891967
AL,BALDWIN,2012,128853.86015625861
AL,BARBOUR,2006,5764.019122500056
AL,BARBOUR,2007,6377.610112487574
AL,BARBOUR,2008,7119.044022725103
AL,BARBOUR,2009,7917.186180000133
AL,BARBOUR,2010,8600.487532725187
AL,BARBOUR,2011,9242.986620225221
AL,BARBOUR,2012,10364.46627795016
AL,BIBB,2006,6278.096539500068
AL,BIBB,2007,7108.871080500063
AL,BIBB,2008,8592.971607500102
AL,BIBB,2009,8668.235531362612
AL,BIBB,2010,9217.115220000112
AL,BIBB,2011,10732.56591022514
AL,BIBB,2012,11418.213273862613
AL,BLOUNT,2006,10417.46982508768
AL,BLOUNT,2007,10633.793008950131
AL,BLOUNT,2008,11026.019067725183
AL,BLOUNT,2009,12821.946716362658
AL,BLOUNT,2010,13645.768384087694
AL,BLOUNT,2011,16131.819716587648
AL,BLOUNT,2012,17702.56696136272
AL,BULLOCK,2006,549.3548184999987
AL,BULLOCK,2007,747.0804358625008
AL,BULLOCK,2008,956.7446143125019
AL,BULLOCK,2009,1421.6815200000035
AL,BULLOCK,2010,1981.900395000004
AL,BULLOCK,2011,2419.820152500009
AL,BULLOCK,2012,2551.0831652250063
AL,BUTLER,2006,3828.924514087504
AL,BUTLER,2007,4782.5303452249955
AL,BUTLER,2008,5867.209062500048
AL,BUTLER,2009,6636.663427500078
AL,BUTLER,2010,7285.018027500098
AL,BUTLER,2011,9228.78793545014
AL,BUTLER,2012,9417.761232037647
AL,CALHOUN,2006,45576.37599199157
AL,CALHOUN,2007,56226.580392429845
AL,CALHOUN,2008,59673.02132175504
AL,CALHOUN,2009,66364.38719775522
AL,CALHOUN,2010,73286.81987201847
AL,CALHOUN,2011,80762.31044704447
AL,CALHOUN,2012,90543.82948316987
AL,CHAMBERS,2006,13604.605537500276
AL,CHAMBERS,2007,13984.61192386279
AL,CHAMBERS,2008,16042.111992725278
AL,CHAMBERS,2009,16464.606574537775
AL,CHAMBERS,2010,17417.905529437827
AL,CHAMBERS,2011,23379.94184636291
AL,CHAMBERS,2012,20636.66994750032
AL,CHEROKEE,2006,10096.068205000065
AL,CHEROKEE,2007,13337.293379300081
AL,CHEROKEE,2008,14371.870397475044
AL,CHEROKEE,2009,16394.432982037553
AL,CHEROKEE,2010,18188.32967636272
AL,CHEROKEE,2011,21144.365227500166
AL,CHEROKEE,2012,23015.141580000236
AL,CHILTON,2006,14249.522659812763
AL,CHILTON,2007,15265.744780987752
AL,CHILTON,2008,16460.1040466127
AL,CHILTON,2009,17669.297582925243
AL,CHILTON,2010,18234.6009254252
AL,CHILTON,2011,21731.331113175165
AL,CHILTON,2012,24499.144937475114
AL,CHOCTAW,2006,4168.146564949999
AL,CHOCTAW,2007,4858.175187937518
AL,CHOCTAW,2008,5140.032936800024
AL,CHOCTAW,2009,5125.220464537522
AL,CHOCTAW,2010,5948.738655000047
AL,CHOCTAW,2011,6700.893960000057
AL,CHOCTAW,2012,7934.546092612578
AL,CLARKE,2006,5063.858757450038
AL,CLARKE,2007,6270.4962001750855
AL,CLARKE,2008,6588.210366125067
AL,CLARKE,2009,7651.943550900107
AL,CLARKE,2010,8976.019039312654
AL,CLARKE,2011,10119.839377950171
AL,CLARKE,2012,11857.81500817518
AL,CLAY,2006,3244.174990000009
AL,CLAY,2007,3829.9931488625125
AL,CLAY,2008,4652.726585000025
AL,CLAY,2009,4836.376935000041
AL,CLAY,2010,4433.261115000029
AL,CLAY,2011,5531.536346362565
AL,CLAY,2012,6418.337790000075
AL,CLEBURNE,2006,1793.5858349999987
AL,CLEBURNE,2007,1972.837320000005
AL,CLEBURNE,2008,2148.0621750000023
AL,CLEBURNE,2009,2736.0445125000056
AL,CLEBURNE,2010,2597.3591663625048
AL,CLEBURNE,2011,3046.8283538625046
AL,CLEBURNE,2012,3372.8372213625153
AL,COFFEE,2006,10784.062700225155
AL,COFFEE,2007,12088.153191725154
AL,COFFEE,2008,13586.458572225047
AL,COFFEE,2009,14369.57990317514
AL,COFFEE,2010,17131.12712295013
AL,COFFEE,2011,19775.63471636268
AL,COFFEE,2012,20508.22495158774
AL,COLBERT,2006,29690.4863744506
AL,COLBERT,2007,32719.147863050624
AL,COLBERT,2008,37824.04797768848
AL,COLBERT,2009,36736.2774890633
AL,COLBERT,2010,39369.203619075546
AL,COLBERT,2011,45453.63501543821
AL,COLBERT,2012,46857.43802407546
AL,CONECUH,2006,4305.366129500009
AL,CONECUH,2007,5453.305513500013
AL,CONECUH,2008,6171.998848500034
AL,CONECUH,2009,6636.305223862536
AL,CONECUH,2010,7116.74866886254
AL,CONECUH,2011,7520.15959181255
AL,CONECUH,2012,8843.059811812593
AL,COOSA,2006,983.0942350000016
AL,COOSA,2007,1203.5786225000024
AL,COOSA,2008,915.1193565875025
AL,COOSA,2009,1037.4959250000022
AL,COOSA,2010,1312.8696899999977
AL,COOSA,2011,1278.1478850000017
AL,COOSA,2012,1292.1801900000028
AL,COVINGTON,2006,11899.53358086268
AL,COVINGTON,2007,14586.954119225113
AL,COVINGTON,2008,15956.115898587626
AL,COVINGTON,2009,17503.630575450195
AL,COVINGTON,2010,20543.037046537644
AL,COVINGTON,2011,20687.100218624975
AL,COVINGTON,2012,21573.633739087523
AL,CRENSHAW,2006,2077.159172500009
AL,CRENSHAW,2007,2453.027257500009
AL,CRENSHAW,2008,2787.044915000016
AL,CRENSHAW,2009,3148.80389250002
AL,CRENSHAW,2010,3399.614962500018
AL,CRENSHAW,2011,3699.5430150000375
AL,CRENSHAW,2012,4222.298838862542
AL,CULLMAN,2006,27960.221234363424
AL,CULLMAN,2007,34198.79865217574
AL,CULLMAN,2008,36166.49852226339
AL,CULLMAN,2009,38865.786375450705
AL,CULLMAN,2010,41407.0260600005
AL,CULLMAN,2011,46268.25600112525
AL,CULLMAN,2012,48024.92623859992
AL,DALE,2006,9251.30890008761
AL,DALE,2007,10493.278551450157
AL,DALE,2008,11876.191552175189
AL,DALE,2009,14692.996021125227
AL,DALE,2010,18105.013050450478
AL,DALE,2011,19705.991715450476
AL,DALE,2012,18810.0037959004
AL,DALLAS,2006,8232.200157000174
AL,DALLAS,2007,11929.823358862752
AL,DALLAS,2008,14590.61820336284
AL,DALLAS,2009,14264.77459451281
AL,DALLAS,2010,13622.154912450244
AL,DALLAS,2011,14112.426709725205
AL,DALLAS,2012,15074.96596608792
AL,DE KALB,2006,17888.295647950265
AL,DE KALB,2007,21424.878830287675
AL,DE KALB,2008,23249.607339987808
AL,DE KALB,2009,26028.5115402001
AL,DE KALB,2010,31037.884238025046
