BUYER_STATE,BUYER_COUNTY,YEAR,Total_Weight
AR,ARKANSAS,2006,4830.744669862519
AR,ARKANSAS,2007,5950.277374500037
AR,ARKANSAS,2008,6418.230307500041
AR,ARKANSAS,2009,6643.993312500056
AR,ARKANSAS,2010,7564.53349500011
AR,ARKANSAS,2011,7502.461642725093
AR,ARKANSAS,2012,8032.757680425098
AR,ASHLEY,2006,4179.869040224962
AR,ASHLEY,2007,4652.35717908753
AR,ASHLEY,2008,4664.5562550000195
AR,ASHLEY,2009,4993.190175450061
AR,ASHLEY,2010,5957.96666636261
AR,ASHLEY,2011,6347.385769537659
AR,ASHLEY,2012,6841.9243465876525
AR,BAXTER,2006,11600.248253175167
AR,BAXTER,2007,12178.22233751273
AR,BAXTER,2008,14161.622495962716
AR,BAXTER,2009,18478.308425400286
AR,BAXTER,2010,21053.49290250023
AR,BAXTER,2011,20721.72804067544
AR,BAXTER,2012,23637.01768998762
AR,BENTON,2006,45191.330190365996
AR,BENTON,2007,54435.50573954205
AR,BENTON,2008,62972.13955285502
AR,BENTON,2009,77613.25004066843
AR,BENTON,2010,94245.6232115687
AR,BENTON,2011,108174.00860723095
AR,BENTON,2012,119748.607938154
AR,BOONE,2006,10420.774393862743
AR,BOONE,2007,13447.000362087816
AR,BOONE,2008,14849.171287950288
AR,BOONE,2009,15248.721852037808
AR,BOONE,2010,17108.907038175363
AR,BOONE,2011,19835.827429537978
AR,BOONE,2012,22998.82554408772
AR,BRADLEY,2006,1376.1923109500021
AR,BRADLEY,2007,1687.7744820000037
AR,BRADLEY,2008,2122.8215085375045
AR,BRADLEY,2009,2269.0772327250047
AR,BRADLEY,2010,2451.8776275000023
AR,BRADLEY,2011,2946.035216362499
AR,BRADLEY,2012,3061.2569331749896
AR,CALHOUN,2006,1009.9854885000049
AR,CALHOUN,2007,1347.7570860000012
AR,CALHOUN,2008,1397.5794165000023
AR,CALHOUN,2009,1714.152675000002
AR,CALHOUN,2010,1818.1733250000013
AR,CALHOUN,2011,1746.1583250000008
AR,CALHOUN,2012,1668.3035325000033
AR,CARROLL,2006,8417.327154862676
AR,CARROLL,2007,12397.696260675317
AR,CARROLL,2008,14104.801619587832
AR,CARROLL,2009,17258.280023175328
AR,CARROLL,2010,19456.15214295032
AR,CARROLL,2011,19618.500817500375
AR,CARROLL,2012,21691.979707500257
AR,CHICOT,2006,3156.0734475000177
AR,CHICOT,2007,3440.6574135000205
AR,CHICOT,2008,3363.094138500024
