,State Name,County,Year,Population,FIPS,State Abbr,_merge
0,Alabama,Autauga County,2000.0,44021,1001,AL,both
1,Alabama,Autauga County,2001.0,44889,1001,AL,both
2,Alabama,Autauga County,2002.0,45909,1001,AL,both
3,Alabama,Autauga County,2003.0,46800,1001,AL,both
4,Alabama,Autauga County,2004.0,48366,1001,AL,both
5,Alabama,Autauga County,2005.0,49676,1001,AL,both
6,Alabama,Autauga County,2006.0,51328,1001,AL,both
7,Alabama,Autauga County,2007.0,52405,1001,AL,both
8,Alabama,Autauga County,2008.0,53277,1001,AL,both
9,Alabama,Autauga County,2009.0,54135,1001,AL,both
10,Alabama,Autauga County,2010.0,54773,1001,AL,both
11,Alabama,Autauga County,2011.0,55227,1001,AL,both
12,Alabama,Autauga County,2012.0,54954,1001,AL,both
13,Alabama,Autauga County,2013.0,54727,1001,AL,both
14,Alabama,Autauga County,2014.0,54893,1001,AL,both
15,Alabama,Autauga County,2015.0,54864,1001,AL,both
16,Alabama,Autauga County,2016.0,55243,1001,AL,both
17,Alabama,Autauga County,2017.0,55390,1001,AL,both
18,Alabama,Autauga County,2018.0,55533,1001,AL,both
19,Alabama,Autauga County,2019.0,55869,1001,AL,both
20,Alabama,Baldwin County,2000.0,141342,1003,AL,both
21,Alabama,Baldwin County,2001.0,144875,1003,AL,both
22,Alabama,Baldwin County,2002.0,147957,1003,AL,both
23,Alabama,Baldwin County,2003.0,151509,1003,AL,both
24,Alabama,Baldwin County,2004.0,156266,1003,AL,both
25,Alabama,Baldwin County,2005.0,162183,1003,AL,both
26,Alabama,Baldwin County,2006.0,168121,1003,AL,both
27,Alabama,Baldwin County,2007.0,172404,1003,AL,both
28,Alabama,Baldwin County,2008.0,175827,1003,AL,both
29,Alabama,Baldwin County,2009.0,179406,1003,AL,both
30,Alabama,Baldwin County,2010.0,183112,1003,AL,both
31,Alabama,Baldwin County,2011.0,186558,1003,AL,both
32,Alabama,Baldwin County,2012.0,190145,1003,AL,both
33,Alabama,Baldwin County,2013.0,194885,1003,AL,both
34,Alabama,Baldwin County,2014.0,199183,1003,AL,both
35,Alabama,Baldwin County,2015.0,202939,1003,AL,both
36,Alabama,Baldwin County,2016.0,207601,1003,AL,both
37,Alabama,Baldwin County,2017.0,212521,1003,AL,both
38,Alabama,Baldwin County,2018.0,217855,1003,AL,both
39,Alabama,Baldwin County,2019.0,223234,1003,AL,both
40,Alabama,Barbour County,2000.0,29015,1005,AL,both
41,Alabama,Barbour County,2001.0,28863,1005,AL,both
42,Alabama,Barbour County,2002.0,28653,1005,AL,both
43,Alabama,Barbour County,2003.0,28594,1005,AL,both
44,Alabama,Barbour County,2004.0,28287,1005,AL,both
45,Alabama,Barbour County,2005.0,28027,1005,AL,both
46,Alabama,Barbour County,2006.0,27861,1005,AL,both
47,Alabama,Barbour County,2007.0,27757,1005,AL,both
48,Alabama,Barbour County,2008.0,27808,1005,AL,both
49,Alabama,Barbour County,2009.0,27657,1005,AL,both
50,Alabama,Barbour County,2010.0,27327,1005,AL,both
51,Alabama,Barbour County,2011.0,27341,1005,AL,both
52,Alabama,Barbour County,2012.0,27169,1005,AL,both
53,Alabama,Barbour County,2013.0,26937,1005,AL,both
54,Alabama,Barbour County,2014.0,26755,1005,AL,both
55,Alabama,Barbour County,2015.0,26283,1005,AL,both
56,Alabama,Barbour County,2016.0,25806,1005,AL,both
57,Alabama,Barbour County,2017.0,25157,1005,AL,both
58,Alabama,Barbour County,2018.0,24872,1005,AL,both
59,Alabama,Barbour County,2019.0,24686,1005,AL,both
60,Alabama,Bibb County,2000.0,19913,1007,AL,both
61,Alabama,Bibb County,2001.0,21028,1007,AL,both
62,Alabama,Bibb County,2002.0,21199,1007,AL,both
63,Alabama,Bibb County,2003.0,21399,1007,AL,both
64,Alabama,Bibb County,2004.0,21721,1007,AL,both
65,Alabama,Bibb County,2005.0,22042,1007,AL,both
66,Alabama,Bibb County,2006.0,22099,1007,AL,both
67,Alabama,Bibb County,2007.0,22438,1007,AL,both
68,Alabama,Bibb County,2008.0,22705,1007,AL,both
69,Alabama,Bibb County,2009.0,22941,1007,AL,both
70,Alabama,Bibb County,2010.0,22870,1007,AL,both
71,Alabama,Bibb County,2011.0,22745,1007,AL,both
72,Alabama,Bibb County,2012.0,22667,1007,AL,both
73,Alabama,Bibb County,2013.0,22521,1007,AL,both
74,Alabama,Bibb County,2014.0,22553,1007,AL,both
75,Alabama,Bibb County,2015.0,22566,1007,AL,both
76,Alabama,Bibb County,2016.0,22586,1007,AL,both
77,Alabama,Bibb County,2017.0,22550,1007,AL,both
78,Alabama,Bibb County,2018.0,22367,1007,AL,both
79,Alabama,Bibb County,2019.0,22394,1007,AL,both
80,Alabama,Blount County,2000.0,51107,1009,AL,both
81,Alabama,Blount County,2001.0,51845,1009,AL,both
82,Alabama,Blount County,2002.0,52551,1009,AL,both
83,Alabama,Blount County,2003.0,53457,1009,AL,both
84,Alabama,Blount County,2004.0,54124,1009,AL,both
85,Alabama,Blount County,2005.0,54624,1009,AL,both
86,Alabama,Blount County,2006.0,55485,1009,AL,both
87,Alabama,Blount County,2007.0,56240,1009,AL,both
