,FIPS,State Abbr,State,County,Year,Deaths,Population,"Deaths Per 100,000 People"
254,1003,AL,Alabama,Baldwin County,2003,10.0,151509.0,6.600267970879617
255,1003,AL,Alabama,Baldwin County,2004,18.0,156266.0,11.518820472783588
256,1003,AL,Alabama,Baldwin County,2005,14.0,162183.0,8.632224092537442
257,1003,AL,Alabama,Baldwin County,2006,11.0,168121.0,6.542906597034279
258,1003,AL,Alabama,Baldwin County,2007,24.0,172404.0,13.920790700911812
259,1003,AL,Alabama,Baldwin County,2008,19.0,175827.0,10.806076427397386
260,1003,AL,Alabama,Baldwin County,2009,29.0,179406.0,16.164453808679756
261,1003,AL,Alabama,Baldwin County,2010,24.0,183112.0,13.106732491589847
262,1003,AL,Alabama,Baldwin County,2011,23.0,186558.0,12.328605581106142
263,1003,AL,Alabama,Baldwin County,2012,24.0,190145.0,12.621946409319206
264,1003,AL,Alabama,Baldwin County,2013,20.0,194885.0,10.262462477871564
265,1003,AL,Alabama,Baldwin County,2014,32.0,199183.0,16.065628090750717
266,1003,AL,Alabama,Baldwin County,2015,40.0,202939.0,19.710356313966265
545,1009,AL,Alabama,Blount County,2008,15.0,57055.0,26.29042152309175
546,1009,AL,Alabama,Blount County,2012,15.0,57580.0,26.050712052796108
547,1009,AL,Alabama,Blount County,2013,10.0,57619.0,17.35538624412086
548,1009,AL,Alabama,Blount County,2014,11.0,57526.0,19.121788408719535
549,1009,AL,Alabama,Blount County,2015,11.0,57526.0,19.121788408719535
931,1015,AL,Alabama,Calhoun County,2007,11.0,116211.0,9.4655411277762
932,1015,AL,Alabama,Calhoun County,2008,17.0,117274.0,14.4959667104388
933,1015,AL,Alabama,Calhoun County,2009,12.0,118363.0,10.138303354933553
934,1015,AL,Alabama,Calhoun County,2010,19.0,118408.0,16.046213093709884
935,1015,AL,Alabama,Calhoun County,2011,12.0,117744.0,10.191602119853242
936,1015,AL,Alabama,Calhoun County,2014,19.0,115917.0,16.391038415417928
937,1015,AL,Alabama,Calhoun County,2015,20.0,115469.0,17.320666152820237
1290,1021,AL,Alabama,Chilton County,2006,13.0,42318.0,30.719788269767
1291,1021,AL,Alabama,Chilton County,2010,10.0,43653.0,22.90793301720386
