,State Abbr,State,County,FIPS,Year,Total_Weight,Population,PerCapWeight
0,AR,Arkansas,Arkansas County,5001,2006.0,4830.744669862519,19785,24416.19747213808
1,AR,Arkansas,Arkansas County,5001,2007.0,5950.277374500037,19434,30617.87266903384
2,AR,Arkansas,Arkansas County,5001,2008.0,6418.230307500042,19275,33298.211712062475
3,AR,Arkansas,Arkansas County,5001,2009.0,6643.993312500056,19134,34723.49384603353
4,AR,Arkansas,Arkansas County,5001,2010.0,7564.53349500011,19009,39794.484165395916
5,AR,Arkansas,Arkansas County,5001,2011.0,7502.461642725093,18871,39756.56638612205
6,AR,Arkansas,Arkansas County,5001,2012.0,8032.7576804250975,18964,42357.929131117366
7,AR,Arkansas,Ashley County,5003,2006.0,4179.869040224962,22501,18576.37011788348
8,AR,Arkansas,Ashley County,5003,2007.0,4652.35717908753,22229,20929.223892606642
9,AR,Arkansas,Ashley County,5003,2008.0,4664.55625500002,22148,21060.846374390556
10,AR,Arkansas,Ashley County,5003,2009.0,4993.190175450061,21920,22779.15226026488
11,AR,Arkansas,Ashley County,5003,2010.0,5957.966666362609,21829,27293.81403803477
12,AR,Arkansas,Ashley County,5003,2011.0,6347.385769537659,21673,29287.065794018636
13,AR,Arkansas,Ashley County,5003,2012.0,6841.9243465876525,21515,31800.71739060029
14,AR,Arkansas,Baxter County,5005,2006.0,11600.248253175168,40867,28385.36778617263
15,AR,Arkansas,Baxter County,5005,2007.0,12178.222337512729,41491,29351.47944738071
16,AR,Arkansas,Baxter County,5005,2008.0,14161.622495962714,41519,34108.77549064937
17,AR,Arkansas,Baxter County,5005,2009.0,18478.30842540029,41561,44460.692537235125
18,AR,Arkansas,Baxter County,5005,2010.0,21053.49290250023,41510,50719.086732113305
19,AR,Arkansas,Baxter County,5005,2011.0,20721.72804067544,41349,50114.21809638792
20,AR,Arkansas,Baxter County,5005,2012.0,23637.017689987617,41080,57538.99145566606
21,AR,Arkansas,Benton County,5007,2006.0,45191.330190365996,195569,23107.61428977292
22,AR,Arkansas,Benton County,5007,2007.0,54435.50573954205,203664,26728.09418431439
23,AR,Arkansas,Benton County,5007,2008.0,62972.13955285503,210807,29871.93952423545
24,AR,Arkansas,Benton County,5007,2009.0,77613.25004066843,216620,35829.217080910545
25,AR,Arkansas,Benton County,5007,2010.0,94245.62321156869,222593,42339.88634483954
26,AR,Arkansas,Benton County,5007,2011.0,108174.00860723096,229171,47202.311203088946
27,AR,Arkansas,Benton County,5007,2012.0,119748.607938154,234938,50970.301925679974
28,AR,Arkansas,Boone County,5009,2006.0,10420.774393862745,36056,28901.63743582967
29,AR,Arkansas,Boone County,5009,2007.0,13447.000362087814,36759,36581.51843654021
30,AR,Arkansas,Boone County,5009,2008.0,14849.171287950288,36974,40161.11669808592
31,AR,Arkansas,Boone County,5009,2009.0,15248.721852037808,36844,41387.25939647652
32,AR,Arkansas,Boone County,5009,2010.0,17108.907038175363,36893,46374.39904094371
33,AR,Arkansas,Boone County,5009,2011.0,19835.827429537978,37086,53486.025533996595
34,AR,Arkansas,Boone County,5009,2012.0,22998.82554408772,37333,61604.547033690615
35,AR,Arkansas,Bradley County,5011,2006.0,1376.1923109500021,11778,11684.43123577859
36,AR,Arkansas,Bradley County,5011,2007.0,1687.7744820000034,11737,14379.947874243873
37,AR,Arkansas,Bradley County,5011,2008.0,2122.8215085375045,11643,18232.59905984286
38,AR,Arkansas,Bradley County,5011,2009.0,2269.0772327250047,11538,19666.122661856512
39,AR,Arkansas,Bradley County,5011,2010.0,2451.8776275000023,11470,21376.43964690499
40,AR,Arkansas,Bradley County,5011,2011.0,2946.035216362499,11432,25770.077120035854
41,AR,Arkansas,Bradley County,5011,2012.0,3061.2569331749896,11266,27172.52736707784
42,AR,Arkansas,Calhoun County,5013,2006.0,1009.9854885000047,5693,17740.830642894867
43,AR,Arkansas,Calhoun County,5013,2007.0,1347.7570860000012,5659,23816.170454143863
44,AR,Arkansas,Calhoun County,5013,2008.0,1397.5794165000025,5528,25281.827360709165
45,AR,Arkansas,Calhoun County,5013,2009.0,1714.152675000002,5421,31620.599059214204
46,AR,Arkansas,Calhoun County,5013,2010.0,1818.1733250000011,5362,33908.491700857914
47,AR,Arkansas,Calhoun County,5013,2011.0,1746.1583250000006,5243,33304.564657638766
48,AR,Arkansas,Calhoun County,5013,2012.0,1668.3035325000033,5278,31608.630778704115
49,AR,Arkansas,Carroll County,5015,2006.0,8417.327154862676,26615,31626.25269533224
50,AR,Arkansas,Carroll County,5015,2007.0,12397.696260675315,26699,46435.0584691386
51,AR,Arkansas,Carroll County,5015,2008.0,14104.801619587832,26822,52586.68861228779
