FIPS,State Abbr,County,Year,Population,"Deaths Per 100,000 People",CalculatedDeaths,State
1001,AL,Autauga County,2003.0,46800,6.410256410256411,3.0,Alabama
1001,AL,Autauga County,2004.0,48366,8.270272505479056,4.0,Alabama
1001,AL,Autauga County,2005.0,49676,8.052178114179885,4.0,Alabama
1001,AL,Autauga County,2006.0,51328,9.741271820448878,5.0,Alabama
1001,AL,Autauga County,2007.0,52405,13.357504054956589,7.0,Alabama
1001,AL,Autauga County,2008.0,53277,15.01586050265593,8.0,Alabama
1001,AL,Autauga County,2009.0,54135,12.930636372032879,7.0,Alabama
1001,AL,Autauga County,2010.0,54773,10.9543023022292,6.0,Alabama
1001,AL,Autauga County,2011.0,55227,12.674959711735202,7.0,Alabama
1001,AL,Autauga County,2012.0,54954,14.557630017833096,8.0,Alabama
1001,AL,Autauga County,2013.0,54727,16.445264677398725,9.0,Alabama
1001,AL,Autauga County,2014.0,54893,16.395533128085546,9.0,Alabama
1001,AL,Autauga County,2015.0,54864,16.404199475065617,9.0,Alabama
1003,AL,Baldwin County,2003.0,151509,6.600267970879617,10.0,Alabama
1003,AL,Baldwin County,2004.0,156266,11.518820472783588,18.0,Alabama
1003,AL,Baldwin County,2005.0,162183,8.632224092537442,14.0,Alabama
1003,AL,Baldwin County,2006.0,168121,6.542906597034279,11.0,Alabama
1003,AL,Baldwin County,2007.0,172404,13.920790700911812,24.0,Alabama
1003,AL,Baldwin County,2008.0,175827,10.806076427397386,19.0,Alabama
1003,AL,Baldwin County,2009.0,179406,16.164453808679756,29.0,Alabama
1003,AL,Baldwin County,2010.0,183112,13.106732491589847,24.0,Alabama
1003,AL,Baldwin County,2011.0,186558,12.328605581106142,23.0,Alabama
1003,AL,Baldwin County,2012.0,190145,12.621946409319206,24.0,Alabama
1003,AL,Baldwin County,2013.0,194885,10.262462477871564,20.0,Alabama
1003,AL,Baldwin County,2014.0,199183,16.065628090750717,32.0,Alabama
1003,AL,Baldwin County,2015.0,202939,19.710356313966265,40.0,Alabama
1005,AL,Barbour County,2003.0,28594,6.994474365251452,2.0,Alabama
1005,AL,Barbour County,2004.0,28287,7.070385689539365,2.0,Alabama
1005,AL,Barbour County,2005.0,28027,7.135976023120562,2.0,Alabama
1005,AL,Barbour County,2006.0,27861,10.76773985140519,3.0,Alabama
1005,AL,Barbour County,2007.0,27757,14.410779262888642,4.0,Alabama
1005,AL,Barbour County,2008.0,27808,14.384349827387801,4.0,Alabama
1005,AL,Barbour County,2009.0,27657,14.462884622337926,4.0,Alabama
1005,AL,Barbour County,2010.0,27327,10.978153474585575,3.0,Alabama
1005,AL,Barbour County,2011.0,27341,10.972532094656376,3.0,Alabama
1005,AL,Barbour County,2012.0,27169,14.722661857263795,4.0,Alabama
1005,AL,Barbour County,2013.0,26937,14.849463563128783,4.0,Alabama
1005,AL,Barbour County,2014.0,26755,14.950476546439917,4.0,Alabama
1005,AL,Barbour County,2015.0,26283,19.023703534604117,5.0,Alabama
1007,AL,Bibb County,2003.0,21399,4.673115566147951,1.0,Alabama
1007,AL,Bibb County,2004.0,21721,9.207679204456516,2.0,Alabama
1007,AL,Bibb County,2005.0,22042,9.073586788857636,2.0,Alabama
1007,AL,Bibb County,2006.0,22099,9.05018326621114,2.0,Alabama
1007,AL,Bibb County,2007.0,22438,13.370175594972816,3.0,Alabama
1007,AL,Bibb County,2008.0,22705,13.21294868971592,3.0,Alabama
1007,AL,Bibb County,2009.0,22941,13.07702366941284,3.0,Alabama
1007,AL,Bibb County,2010.0,22870,13.117621337997376,3.0,Alabama
1007,AL,Bibb County,2011.0,22745,13.189712024620798,3.0,Alabama
1007,AL,Bibb County,2012.0,22667,13.23509948383112,3.0,Alabama
1007,AL,Bibb County,2013.0,22521,17.761200657164427,4.0,Alabama
1007,AL,Bibb County,2014.0,22553,17.735999645280007,4.0,Alabama
1007,AL,Bibb County,2015.0,22566,17.725782150137373,4.0,Alabama
1009,AL,Blount County,2003.0,53457,7.482649606225565,4.0,Alabama
1009,AL,Blount County,2004.0,54124,7.390436774813391,4.0,Alabama
1009,AL,Blount County,2005.0,54624,9.153485647334506,5.0,Alabama
1009,AL,Blount County,2006.0,55485,10.813733441470667,6.0,Alabama
1009,AL,Blount County,2007.0,56240,14.224751066856332,8.0,Alabama
1009,AL,Blount County,2008.0,57055,26.29042152309175,15.0,Alabama
1009,AL,Blount County,2009.0,57341,13.95162274812089,8.0,Alabama
1009,AL,Blount County,2010.0,57376,10.45733407696598,6.0,Alabama
1009,AL,Blount County,2011.0,57560,12.161223071577485,7.0,Alabama
1009,AL,Blount County,2012.0,57580,26.050712052796108,15.0,Alabama
1009,AL,Blount County,2013.0,57619,17.35538624412086,10.0,Alabama
1009,AL,Blount County,2014.0,57526,19.121788408719535,11.0,Alabama
1009,AL,Blount County,2015.0,57526,19.121788408719535,11.0,Alabama
1011,AL,Bullock County,2003.0,11316,8.837044892188052,1.0,Alabama
1011,AL,Bullock County,2004.0,11056,9.044862518089724,1.0,Alabama
1011,AL,Bullock County,2005.0,11011,9.081827263645446,1.0,Alabama
1011,AL,Bullock County,2006.0,10776,9.279881217520416,1.0,Alabama
1011,AL,Bullock County,2007.0,11011,9.081827263645446,1.0,Alabama
1011,AL,Bullock County,2008.0,10953,18.25983748744636,2.0,Alabama
1011,AL,Bullock County,2009.0,10987,9.10166560480568,1.0,Alabama
1011,AL,Bullock County,2010.0,10876,9.194556822361163,1.0,Alabama
1011,AL,Bullock County,2011.0,10675,9.36768149882904,1.0,Alabama
1011,AL,Bullock County,2012.0,10606,18.857250612860643,2.0,Alabama
1011,AL,Bullock County,2013.0,10549,18.959143046734287,2.0,Alabama
1011,AL,Bullock County,2014.0,10663,18.756447528838038,2.0,Alabama
1011,AL,Bullock County,2015.0,10400,19.23076923076923,2.0,Alabama
1013,AL,Butler County,2003.0,20833,4.800076801228819,1.0,Alabama
1013,AL,Butler County,2004.0,20870,9.583133684714902,2.0,Alabama
1013,AL,Butler County,2005.0,20830,9.601536245799327,2.0,Alabama
1013,AL,Butler County,2006.0,20815,9.608455440787894,2.0,Alabama
1013,AL,Butler County,2007.0,20894,14.35818895376663,3.0,Alabama
1013,AL,Butler County,2008.0,20949,14.320492624946297,3.0,Alabama
1013,AL,Butler County,2009.0,20867,14.376767144294819,3.0,Alabama
1013,AL,Butler County,2010.0,20932,9.554748710108925,2.0,Alabama
1013,AL,Butler County,2011.0,20866,14.377456148758746,3.0,Alabama
1013,AL,Butler County,2012.0,20670,14.513788098693757,3.0,Alabama
1013,AL,Butler County,2013.0,20356,14.737669483199056,3.0,Alabama
1013,AL,Butler County,2014.0,20327,14.75869533133271,3.0,Alabama
1013,AL,Butler County,2015.0,20162,14.879476242436265,3.0,Alabama
1015,AL,Calhoun County,2003.0,112705,6.210904573887583,7.0,Alabama
1015,AL,Calhoun County,2004.0,113462,7.932171123371702,9.0,Alabama
1015,AL,Calhoun County,2005.0,114477,7.861841243219161,9.0,Alabama
1015,AL,Calhoun County,2006.0,115388,7.79977120671127,9.0,Alabama
1015,AL,Calhoun County,2007.0,116211,9.4655411277762,11.0,Alabama
1015,AL,Calhoun County,2008.0,117274,14.4959667104388,17.0,Alabama
1015,AL,Calhoun County,2009.0,118363,10.138303354933553,12.0,Alabama
1015,AL,Calhoun County,2010.0,118408,16.046213093709884,19.0,Alabama
1015,AL,Calhoun County,2011.0,117744,10.191602119853242,12.0,Alabama
