County Code,Year,Deaths,County,Population,State,death rate,deathcoef,projdeaths,CalculatedDeaths
1001,2003.0,,Autauga County,46800,AL,8.69850485128042e-05,4.0,4.0,4.0
1001,2004.0,,Autauga County,48366,AL,7.655092998521644e-05,4.0,4.0,4.0
1001,2005.0,,Autauga County,49676,AL,7.410515361358588e-05,4.0,4.0,4.0
1001,2006.0,,Autauga County,51328,AL,0.00010444902127210795,5.0,5.0,5.0
1001,2007.0,,Autauga County,52405,AL,0.0001259320682994383,7.0,7.0,7.0
1001,2008.0,,Autauga County,53277,AL,0.00013823164358149845,7.0,7.0,7.0
1001,2009.0,,Autauga County,54135,AL,0.00014551728797351587,8.0,8.0,8.0
1001,2010.0,,Autauga County,54773,AL,0.0001157049632979064,6.0,6.0,6.0
1001,2011.0,,Autauga County,55227,AL,0.00013420145191844507,7.0,7.0,7.0
1001,2012.0,,Autauga County,54954,AL,0.00014206538576875744,8.0,8.0,8.0
1001,2013.0,,Autauga County,54727,AL,0.00015073517215212785,8.0,8.0,8.0
1001,2014.0,,Autauga County,54893,AL,0.00017690310077274059,10.0,9.0,9.0
1001,2015.0,,Autauga County,54864,AL,0.00017073943047824514,9.0,9.0,9.0
1003,2003.0,10.0,Baldwin County,151509,AL,8.69850485128042e-05,13.0,9.0,10.0
1003,2004.0,18.0,Baldwin County,156266,AL,7.655092998521644e-05,12.0,9.0,18.0
1003,2005.0,14.0,Baldwin County,162183,AL,7.410515361358588e-05,12.0,9.0,14.0
1003,2006.0,11.0,Baldwin County,168121,AL,0.00010444902127210795,18.0,9.0,11.0
1003,2007.0,24.0,Baldwin County,172404,AL,0.0001259320682994383,22.0,9.0,24.0
1003,2008.0,19.0,Baldwin County,175827,AL,0.00013823164358149845,24.0,9.0,19.0
1003,2009.0,29.0,Baldwin County,179406,AL,0.00014551728797351587,26.0,9.0,29.0
1003,2010.0,24.0,Baldwin County,183112,AL,0.0001157049632979064,21.0,9.0,24.0
1003,2011.0,23.0,Baldwin County,186558,AL,0.00013420145191844507,25.0,9.0,23.0
1003,2012.0,24.0,Baldwin County,190145,AL,0.00014206538576875744,27.0,9.0,24.0
1003,2013.0,20.0,Baldwin County,194885,AL,0.00015073517215212785,29.0,9.0,20.0
1003,2014.0,32.0,Baldwin County,199183,AL,0.00017690310077274059,35.0,9.0,32.0
1003,2015.0,40.0,Baldwin County,202939,AL,0.00017073943047824514,35.0,9.0,40.0
1005,2003.0,,Barbour County,28594,AL,8.69850485128042e-05,2.0,2.0,2.0
1005,2004.0,,Barbour County,28287,AL,7.655092998521644e-05,2.0,2.0,2.0
1005,2005.0,,Barbour County,28027,AL,7.410515361358588e-05,2.0,2.0,2.0
1005,2006.0,,Barbour County,27861,AL,0.00010444902127210795,3.0,3.0,3.0
1005,2007.0,,Barbour County,27757,AL,0.0001259320682994383,3.0,3.0,3.0
1005,2008.0,,Barbour County,27808,AL,0.00013823164358149845,4.0,4.0,4.0
1005,2009.0,,Barbour County,27657,AL,0.00014551728797351587,4.0,4.0,4.0
1005,2010.0,,Barbour County,27327,AL,0.0001157049632979064,3.0,3.0,3.0
1005,2011.0,,Barbour County,27341,AL,0.00013420145191844507,4.0,4.0,4.0
1005,2012.0,,Barbour County,27169,AL,0.00014206538576875744,4.0,4.0,4.0
1005,2013.0,,Barbour County,26937,AL,0.00015073517215212785,4.0,4.0,4.0
1005,2014.0,,Barbour County,26755,AL,0.00017690310077274059,5.0,5.0,5.0
1005,2015.0,,Barbour County,26283,AL,0.00017073943047824514,4.0,4.0,4.0
1007,2003.0,,Bibb County,21399,AL,8.69850485128042e-05,2.0,2.0,2.0
1007,2004.0,,Bibb County,21721,AL,7.655092998521644e-05,2.0,2.0,2.0
1007,2005.0,,Bibb County,22042,AL,7.410515361358588e-05,2.0,2.0,2.0
1007,2006.0,,Bibb County,22099,AL,0.00010444902127210795,2.0,2.0,2.0
1007,2007.0,,Bibb County,22438,AL,0.0001259320682994383,3.0,3.0,3.0
1007,2008.0,,Bibb County,22705,AL,0.00013823164358149845,3.0,3.0,3.0
1007,2009.0,,Bibb County,22941,AL,0.00014551728797351587,3.0,3.0,3.0
1007,2010.0,,Bibb County,22870,AL,0.0001157049632979064,3.0,3.0,3.0
1007,2011.0,,Bibb County,22745,AL,0.00013420145191844507,3.0,3.0,3.0
1007,2012.0,,Bibb County,22667,AL,0.00014206538576875744,3.0,3.0,3.0
1007,2013.0,,Bibb County,22521,AL,0.00015073517215212785,3.0,3.0,3.0
1007,2014.0,,Bibb County,22553,AL,0.00017690310077274059,4.0,4.0,4.0
1007,2015.0,,Bibb County,22566,AL,0.00017073943047824514,4.0,4.0,4.0
1009,2003.0,,Blount County,53457,AL,8.69850485128042e-05,5.0,5.0,5.0
1009,2004.0,,Blount County,54124,AL,7.655092998521644e-05,4.0,4.0,4.0
1009,2005.0,,Blount County,54624,AL,7.410515361358588e-05,4.0,4.0,4.0
1009,2006.0,,Blount County,55485,AL,0.00010444902127210795,6.0,6.0,6.0
1009,2007.0,,Blount County,56240,AL,0.0001259320682994383,7.0,7.0,7.0
1009,2008.0,15.0,Blount County,57055,AL,0.00013823164358149845,8.0,8.0,15.0
1009,2009.0,,Blount County,57341,AL,0.00014551728797351587,8.0,8.0,8.0
1009,2010.0,,Blount County,57376,AL,0.0001157049632979064,7.0,7.0,7.0
1009,2011.0,,Blount County,57560,AL,0.00013420145191844507,8.0,8.0,8.0
1009,2012.0,15.0,Blount County,57580,AL,0.00014206538576875744,8.0,8.0,15.0
1009,2013.0,10.0,Blount County,57619,AL,0.00015073517215212785,9.0,9.0,10.0
1009,2014.0,11.0,Blount County,57526,AL,0.00017690310077274059,10.0,9.0,11.0
1009,2015.0,11.0,Blount County,57526,AL,0.00017073943047824514,10.0,9.0,11.0
1011,2003.0,,Bullock County,11316,AL,8.69850485128042e-05,1.0,1.0,1.0
1011,2004.0,,Bullock County,11056,AL,7.655092998521644e-05,1.0,1.0,1.0
1011,2005.0,,Bullock County,11011,AL,7.410515361358588e-05,1.0,1.0,1.0
1011,2006.0,,Bullock County,10776,AL,0.00010444902127210795,1.0,1.0,1.0
1011,2007.0,,Bullock County,11011,AL,0.0001259320682994383,1.0,1.0,1.0
